Sport,Year,Year ID,Set ID,Set Name,Set Count
Baseball,1866,344397,generated_Baseball_1866_Series One,Series One,18
Baseball,1866,344397,generated_Baseball_1866_Series Two,Series Two,18
Baseball,1866,344397,generated_Baseball_1866_Update,Update,18
Baseball,1866,344397,generated_Baseball_1866_Chrome,Chrome,18
Baseball,1866,344397,generated_Baseball_1866_Chrome Update,Chrome Update,18
Baseball,1866,344397,generated_Baseball_1866_Heritage,Heritage,18
Baseball,1866,344397,generated_Baseball_1866_Stadium Club,Stadium Club,18
Baseball,1866,344397,generated_Baseball_1866_Allen & Ginter,Allen & Ginter,18
Baseball,1866,344397,generated_Baseball_1866_Gypsy Queen,Gypsy Queen,18
Baseball,1866,344397,generated_Baseball_1866_Opening Day,Opening Day,18
Baseball,1866,344397,generated_Baseball_1866_Big League,Big League,18
Baseball,1866,344397,generated_Baseball_1866_Fire,Fire,18
Baseball,1866,344397,generated_Baseball_1866_Finest,Finest,18
Baseball,1866,344397,generated_Baseball_1866_Tribute,Tribute,18
Baseball,1866,344397,generated_Baseball_1866_Tier One,Tier One,18
Baseball,1866,344397,generated_Baseball_1866_Clearly Authentic,Clearly Authentic,18
Baseball,1866,344397,generated_Baseball_1866_On Demand 3D,On Demand 3D,18
Baseball,1866,344397,generated_Baseball_1866_Transcendent Hall of Fame,Transcendent Hall of Fame,18
Baseball,1868,205692,generated_Baseball_1868_Series One,Series One,18
Baseball,1868,205692,generated_Baseball_1868_Series Two,Series Two,18
Baseball,1868,205692,generated_Baseball_1868_Update,Update,18
Baseball,1868,205692,generated_Baseball_1868_Chrome,Chrome,18
Baseball,1868,205692,generated_Baseball_1868_Chrome Update,Chrome Update,18
Baseball,1868,205692,generated_Baseball_1868_Heritage,Heritage,18
Baseball,1868,205692,generated_Baseball_1868_Stadium Club,Stadium Club,18
Baseball,1868,205692,generated_Baseball_1868_Allen & Ginter,Allen & Ginter,18
Baseball,1868,205692,generated_Baseball_1868_Gypsy Queen,Gypsy Queen,18
Baseball,1868,205692,generated_Baseball_1868_Opening Day,Opening Day,18
Baseball,1868,205692,generated_Baseball_1868_Big League,Big League,18
Baseball,1868,205692,generated_Baseball_1868_Fire,Fire,18
Baseball,1868,205692,generated_Baseball_1868_Finest,Finest,18
Baseball,1868,205692,generated_Baseball_1868_Tribute,Tribute,18
Baseball,1868,205692,generated_Baseball_1868_Tier One,Tier One,18
Baseball,1868,205692,generated_Baseball_1868_Clearly Authentic,Clearly Authentic,18
Baseball,1868,205692,generated_Baseball_1868_On Demand 3D,On Demand 3D,18
Baseball,1868,205692,generated_Baseball_1868_Transcendent Hall of Fame,Transcendent Hall of Fame,18
Baseball,1869,195177,generated_Baseball_1869_Series One,Series One,18
Baseball,1869,195177,generated_Baseball_1869_Series Two,Series Two,18
Baseball,1869,195177,generated_Baseball_1869_Update,Update,18
Baseball,1869,195177,generated_Baseball_1869_Chrome,Chrome,18
Baseball,1869,195177,generated_Baseball_1869_Chrome Update,Chrome Update,18
Baseball,1869,195177,generated_Baseball_1869_Heritage,Heritage,18
Baseball,1869,195177,generated_Baseball_1869_Stadium Club,Stadium Club,18
Baseball,1869,195177,generated_Baseball_1869_Allen & Ginter,Allen & Ginter,18
Baseball,1869,195177,generated_Baseball_1869_Gypsy Queen,Gypsy Queen,18
Baseball,1869,195177,generated_Baseball_1869_Opening Day,Opening Day,18
Baseball,1869,195177,generated_Baseball_1869_Big League,Big League,18
Baseball,1869,195177,generated_Baseball_1869_Fire,Fire,18
Baseball,1869,195177,generated_Baseball_1869_Finest,Finest,18
Baseball,1869,195177,generated_Baseball_1869_Tribute,Tribute,18
Baseball,1869,195177,generated_Baseball_1869_Tier One,Tier One,18
Baseball,1869,195177,generated_Baseball_1869_Clearly Authentic,Clearly Authentic,18
Baseball,1869,195177,generated_Baseball_1869_On Demand 3D,On Demand 3D,18
Baseball,1869,195177,generated_Baseball_1869_Transcendent Hall of Fame,Transcendent Hall of Fame,18
Baseball,1870,281520,generated_Baseball_1870_Series One,Series One,18
Baseball,1870,281520,generated_Baseball_1870_Series Two,Series Two,18
Baseball,1870,281520,generated_Baseball_1870_Update,Update,18
Baseball,1870,281520,generated_Baseball_1870_Chrome,Chrome,18
Baseball,1870,281520,generated_Baseball_1870_Chrome Update,Chrome Update,18
Baseball,1870,281520,generated_Baseball_1870_Heritage,Heritage,18
Baseball,1870,281520,generated_Baseball_1870_Stadium Club,Stadium Club,18
Baseball,1870,281520,generated_Baseball_1870_Allen & Ginter,Allen & Ginter,18
Baseball,1870,281520,generated_Baseball_1870_Gypsy Queen,Gypsy Queen,18
Baseball,1870,281520,generated_Baseball_1870_Opening Day,Opening Day,18
Baseball,1870,281520,generated_Baseball_1870_Big League,Big League,18
Baseball,1870,281520,generated_Baseball_1870_Fire,Fire,18
Baseball,1870,281520,generated_Baseball_1870_Finest,Finest,18
Baseball,1870,281520,generated_Baseball_1870_Tribute,Tribute,18
Baseball,1870,281520,generated_Baseball_1870_Tier One,Tier One,18
Baseball,1870,281520,generated_Baseball_1870_Clearly Authentic,Clearly Authentic,18
Baseball,1870,281520,generated_Baseball_1870_On Demand 3D,On Demand 3D,18
Baseball,1870,281520,generated_Baseball_1870_Transcendent Hall of Fame,Transcendent Hall of Fame,18
Baseball,1871,239182,generated_Baseball_1871_Series One,Series One,18
Baseball,1871,239182,generated_Baseball_1871_Series Two,Series Two,18
Baseball,1871,239182,generated_Baseball_1871_Update,Update,18
Baseball,1871,239182,generated_Baseball_1871_Chrome,Chrome,18
Baseball,1871,239182,generated_Baseball_1871_Chrome Update,Chrome Update,18
Baseball,1871,239182,generated_Baseball_1871_Heritage,Heritage,18
Baseball,1871,239182,generated_Baseball_1871_Stadium Club,Stadium Club,18
Baseball,1871,239182,generated_Baseball_1871_Allen & Ginter,Allen & Ginter,18
Baseball,1871,239182,generated_Baseball_1871_Gypsy Queen,Gypsy Queen,18
Baseball,1871,239182,generated_Baseball_1871_Opening Day,Opening Day,18
Baseball,1871,239182,generated_Baseball_1871_Big League,Big League,18
Baseball,1871,239182,generated_Baseball_1871_Fire,Fire,18
Baseball,1871,239182,generated_Baseball_1871_Finest,Finest,18
Baseball,1871,239182,generated_Baseball_1871_Tribute,Tribute,18
Baseball,1871,239182,generated_Baseball_1871_Tier One,Tier One,18
Baseball,1871,239182,generated_Baseball_1871_Clearly Authentic,Clearly Authentic,18
Baseball,1871,239182,generated_Baseball_1871_On Demand 3D,On Demand 3D,18
Baseball,1871,239182,generated_Baseball_1871_Transcendent Hall of Fame,Transcendent Hall of Fame,18
Baseball,1878,222911,generated_Baseball_1878_Series One,Series One,18
Baseball,1878,222911,generated_Baseball_1878_Series Two,Series Two,18
Baseball,1878,222911,generated_Baseball_1878_Update,Update,18
Baseball,1878,222911,generated_Baseball_1878_Chrome,Chrome,18
Baseball,1878,222911,generated_Baseball_1878_Chrome Update,Chrome Update,18
Baseball,1878,222911,generated_Baseball_1878_Heritage,Heritage,18
Baseball,1878,222911,generated_Baseball_1878_Stadium Club,Stadium Club,18
Baseball,1878,222911,generated_Baseball_1878_Allen & Ginter,Allen & Ginter,18
Baseball,1878,222911,generated_Baseball_1878_Gypsy Queen,Gypsy Queen,18
Baseball,1878,222911,generated_Baseball_1878_Opening Day,Opening Day,18
Baseball,1878,222911,generated_Baseball_1878_Big League,Big League,18
Baseball,1878,222911,generated_Baseball_1878_Fire,Fire,18
Baseball,1878,222911,generated_Baseball_1878_Finest,Finest,18
Baseball,1878,222911,generated_Baseball_1878_Tribute,Tribute,18
Baseball,1878,222911,generated_Baseball_1878_Tier One,Tier One,18
Baseball,1878,222911,generated_Baseball_1878_Clearly Authentic,Clearly Authentic,18
Baseball,1878,222911,generated_Baseball_1878_On Demand 3D,On Demand 3D,18
Baseball,1878,222911,generated_Baseball_1878_Transcendent Hall of Fame,Transcendent Hall of Fame,18
Baseball,1880,220128,generated_Baseball_1880_Series One,Series One,18
Baseball,1880,220128,generated_Baseball_1880_Series Two,Series Two,18
Baseball,1880,220128,generated_Baseball_1880_Update,Update,18
Baseball,1880,220128,generated_Baseball_1880_Chrome,Chrome,18
Baseball,1880,220128,generated_Baseball_1880_Chrome Update,Chrome Update,18
Baseball,1880,220128,generated_Baseball_1880_Heritage,Heritage,18
Baseball,1880,220128,generated_Baseball_1880_Stadium Club,Stadium Club,18
Baseball,1880,220128,generated_Baseball_1880_Allen & Ginter,Allen & Ginter,18
Baseball,1880,220128,generated_Baseball_1880_Gypsy Queen,Gypsy Queen,18
Baseball,1880,220128,generated_Baseball_1880_Opening Day,Opening Day,18
Baseball,1880,220128,generated_Baseball_1880_Big League,Big League,18
Baseball,1880,220128,generated_Baseball_1880_Fire,Fire,18
Baseball,1880,220128,generated_Baseball_1880_Finest,Finest,18
Baseball,1880,220128,generated_Baseball_1880_Tribute,Tribute,18
Baseball,1880,220128,generated_Baseball_1880_Tier One,Tier One,18
Baseball,1880,220128,generated_Baseball_1880_Clearly Authentic,Clearly Authentic,18
Baseball,1880,220128,generated_Baseball_1880_On Demand 3D,On Demand 3D,18
Baseball,1880,220128,generated_Baseball_1880_Transcendent Hall of Fame,Transcendent Hall of Fame,18
Baseball,1882,254109,generated_Baseball_1882_Series One,Series One,18
Baseball,1882,254109,generated_Baseball_1882_Series Two,Series Two,18
Baseball,1882,254109,generated_Baseball_1882_Update,Update,18
Baseball,1882,254109,generated_Baseball_1882_Chrome,Chrome,18
Baseball,1882,254109,generated_Baseball_1882_Chrome Update,Chrome Update,18
Baseball,1882,254109,generated_Baseball_1882_Heritage,Heritage,18
Baseball,1882,254109,generated_Baseball_1882_Stadium Club,Stadium Club,18
Baseball,1882,254109,generated_Baseball_1882_Allen & Ginter,Allen & Ginter,18
Baseball,1882,254109,generated_Baseball_1882_Gypsy Queen,Gypsy Queen,18
Baseball,1882,254109,generated_Baseball_1882_Opening Day,Opening Day,18
Baseball,1882,254109,generated_Baseball_1882_Big League,Big League,18
Baseball,1882,254109,generated_Baseball_1882_Fire,Fire,18
Baseball,1882,254109,generated_Baseball_1882_Finest,Finest,18
Baseball,1882,254109,generated_Baseball_1882_Tribute,Tribute,18
Baseball,1882,254109,generated_Baseball_1882_Tier One,Tier One,18
Baseball,1882,254109,generated_Baseball_1882_Clearly Authentic,Clearly Authentic,18
Baseball,1882,254109,generated_Baseball_1882_On Demand 3D,On Demand 3D,18
Baseball,1882,254109,generated_Baseball_1882_Transcendent Hall of Fame,Transcendent Hall of Fame,18
Baseball,1886,219167,generated_Baseball_1886_Series One,Series One,18
Baseball,1886,219167,generated_Baseball_1886_Series Two,Series Two,18
Baseball,1886,219167,generated_Baseball_1886_Update,Update,18
Baseball,1886,219167,generated_Baseball_1886_Chrome,Chrome,18
Baseball,1886,219167,generated_Baseball_1886_Chrome Update,Chrome Update,18
Baseball,1886,219167,generated_Baseball_1886_Heritage,Heritage,18
Baseball,1886,219167,generated_Baseball_1886_Stadium Club,Stadium Club,18
Baseball,1886,219167,generated_Baseball_1886_Allen & Ginter,Allen & Ginter,18
Baseball,1886,219167,generated_Baseball_1886_Gypsy Queen,Gypsy Queen,18
Baseball,1886,219167,generated_Baseball_1886_Opening Day,Opening Day,18
Baseball,1886,219167,generated_Baseball_1886_Big League,Big League,18
Baseball,1886,219167,generated_Baseball_1886_Fire,Fire,18
Baseball,1886,219167,generated_Baseball_1886_Finest,Finest,18
Baseball,1886,219167,generated_Baseball_1886_Tribute,Tribute,18
Baseball,1886,219167,generated_Baseball_1886_Tier One,Tier One,18
Baseball,1886,219167,generated_Baseball_1886_Clearly Authentic,Clearly Authentic,18
Baseball,1886,219167,generated_Baseball_1886_On Demand 3D,On Demand 3D,18
Baseball,1886,219167,generated_Baseball_1886_Transcendent Hall of Fame,Transcendent Hall of Fame,18
Baseball,1887,119695,generated_Baseball_1887_Series One,Series One,18
Baseball,1887,119695,generated_Baseball_1887_Series Two,Series Two,18
Baseball,1887,119695,generated_Baseball_1887_Update,Update,18
Baseball,1887,119695,generated_Baseball_1887_Chrome,Chrome,18
Baseball,1887,119695,generated_Baseball_1887_Chrome Update,Chrome Update,18
Baseball,1887,119695,generated_Baseball_1887_Heritage,Heritage,18
Baseball,1887,119695,generated_Baseball_1887_Stadium Club,Stadium Club,18
Baseball,1887,119695,generated_Baseball_1887_Allen & Ginter,Allen & Ginter,18
Baseball,1887,119695,generated_Baseball_1887_Gypsy Queen,Gypsy Queen,18
Baseball,1887,119695,generated_Baseball_1887_Opening Day,Opening Day,18
Baseball,1887,119695,generated_Baseball_1887_Big League,Big League,18
Baseball,1887,119695,generated_Baseball_1887_Fire,Fire,18
Baseball,1887,119695,generated_Baseball_1887_Finest,Finest,18
Baseball,1887,119695,generated_Baseball_1887_Tribute,Tribute,18
Baseball,1887,119695,generated_Baseball_1887_Tier One,Tier One,18
Baseball,1887,119695,generated_Baseball_1887_Clearly Authentic,Clearly Authentic,18
